Directors;NULL;HEAP;215288;0;0;0
Episodes;PK__Episodes__847D171D8D3560DE;CLUSTERED;253584;0;0;0
InvolvedIn;NULL;HEAP;4745776;0;0;0
InvolvedIn;fk_title_Id;NONCLUSTERED;4745776;0;0;0
KnownFor;NULL;HEAP;585440;0;0;0
People;PK__People__543B44E7C771F5DC;CLUSTERED;634808;0;0;0
Professions;NULL;HEAP;553984;0;0;0
sysdiagrams;PK__sysdiagr__C2B05B6183127A99;CLUSTERED;128;1;0;0
sysdiagrams;UK_principal_name;NONCLUSTERED;128;1;0;0
TitleRatings;PK__TitleRat__1063C5AFD23B8162;CLUSTERED;41016;0;0;0
Titles;PK_Titles_title_Id;CLUSTERED;1053312;0;0;0
TitlesGenres;NULL;HEAP;790296;0;0;0
TitlesGenres;index_TitlesGenres_FK;NONCLUSTERED;790296;0;0;0
Writers;NULL;HEAP;341120;0;0;0
